metric_name,Description,unit_name
volume_idle_time,"This metric is not supported with Multi-Attach enabled
                                                         volumes.",
volume_idle_time,"This metric is not supported with Multi-Attach enabled
                                                         volumes.",Units: Seconds
volume_queue_length,"The number of read and write operation requests waiting to be
                                                   completed in a specified period of time.",
volume_queue_length,"The number of read and write operation requests waiting to be
                                                   completed in a specified period of time.",
volume_queue_length,"The number of read and write operation requests waiting to be
                                                   completed in a specified period of time.",
volume_queue_length,"The number of read and write operation requests waiting to be
                                                   completed in a specified period of time.",Units: Count
volume_throughput_percentage,"This metric is not supported with Multi-Attach enabled
                                                         volumes.",
volume_throughput_percentage,"This metric is not supported with Multi-Attach enabled
                                                         volumes.",
volume_throughput_percentage,"This metric is not supported with Multi-Attach enabled
                                                         volumes.",
volume_throughput_percentage,"This metric is not supported with Multi-Attach enabled
                                                         volumes.",Units: Percent
volume_consumed_read_write_ops,"Used with Provisioned IOPS SSD volumes only. The total amount of read and
                                                   write operations (normalized to 256K capacity units) consumed in
                                                   a specified period of time.",
volume_consumed_read_write_ops,"Used with Provisioned IOPS SSD volumes only. The total amount of read and
                                                   write operations (normalized to 256K capacity units) consumed in
                                                   a specified period of time.",
volume_consumed_read_write_ops,"Used with Provisioned IOPS SSD volumes only. The total amount of read and
                                                   write operations (normalized to 256K capacity units) consumed in
                                                   a specified period of time.",Units: Count
burst_balance,"Used with General Purpose SSD (gp2), Throughput Optimized HDD (st1), and Cold HDD
                                                   (sc1) volumes only. Provides information about the percentage
                                                   of I/O credits (for gp2) or throughput credits (for st1 and
                                                   sc1) remaining in the burst bucket. Data is reported to CloudWatch
                                                   only when the volume is active. If the volume is not attached,
                                                   no data is reported.",
burst_balance,"Used with General Purpose SSD (gp2), Throughput Optimized HDD (st1), and Cold HDD
                                                   (sc1) volumes only. Provides information about the percentage
                                                   of I/O credits (for gp2) or throughput credits (for st1 and
                                                   sc1) remaining in the burst bucket. Data is reported to CloudWatch
                                                   only when the volume is active. If the volume is not attached,
                                                   no data is reported.",
burst_balance,"Used with General Purpose SSD (gp2), Throughput Optimized HDD (st1), and Cold HDD
                                                   (sc1) volumes only. Provides information about the percentage
                                                   of I/O credits (for gp2) or throughput credits (for st1 and
                                                   sc1) remaining in the burst bucket. Data is reported to CloudWatch
                                                   only when the volume is active. If the volume is not attached,
                                                   no data is reported.",
burst_balance,"Used with General Purpose SSD (gp2), Throughput Optimized HDD (st1), and Cold HDD
                                                   (sc1) volumes only. Provides information about the percentage
                                                   of I/O credits (for gp2) or throughput credits (for st1 and
                                                   sc1) remaining in the burst bucket. Data is reported to CloudWatch
                                                   only when the volume is active. If the volume is not attached,
                                                   no data is reported.",Units: Percent
fast_snapshot_restore_credits_bucket_size,"The maximum number of volume create credits that can be
                                                   accumulated. This metric is reported per snapshot per
                                                   Availability Zone.",
fast_snapshot_restore_credits_bucket_size,"The maximum number of volume create credits that can be
                                                   accumulated. This metric is reported per snapshot per
                                                   Availability Zone.",
fast_snapshot_restore_credits_balance,"The number of volume create credits available. This metric is
                                                   reported per snapshot per Availability Zone.",
fast_snapshot_restore_credits_balance,"The number of volume create credits available. This metric is
                                                   reported per snapshot per Availability Zone.",
avg _read _size (_ki_b/_operation),Avg(VolumeReadBytes) / 1024,
avg _read _size (_ki_b/_operation),Avg(VolumeReadBytes) / 1024,
avg _read _size (_ki_b/_operation),Avg(VolumeReadBytes) / 1024,
avg _read _size (_ki_b/_operation),Avg(VolumeReadBytes) / 1024,
avg _write _size (_ki_b/_operation),Avg(VolumeWriteBytes) / 1024,
avg _write _size (_ki_b/_operation),Avg(VolumeWriteBytes) / 1024,
avg _write _size (_ki_b/_operation),Avg(VolumeWriteBytes) / 1024,
avg _write _size (_ki_b/_operation),Avg(VolumeWriteBytes) / 1024,
avg _read _latency (ms/_operation),Avg(VolumeTotalReadTime) × 1000,
avg _read _latency (ms/_operation),Avg(VolumeTotalReadTime) × 1000,
avg _read _latency (ms/_operation),Avg(VolumeTotalReadTime) × 1000,
avg _read _latency (ms/_operation),Avg(VolumeTotalReadTime) × 1000,
avg _write _latency (ms/_operation),Avg(VolumeTotalWriteTime) × 1000,
avg _write _latency (ms/_operation),Avg(VolumeTotalWriteTime) × 1000,
avg _write _latency (ms/_operation),Avg(VolumeTotalWriteTime) × 1000,
avg _write _latency (ms/_operation),Avg(VolumeTotalWriteTime) × 1000,
